ds,y
             2016 10 05,0.08235
             2016 10 06,0.01506
             2016 10 05,0.05386
             2016 10 05,0.02614
             2016 10 05,0.00227
             2016 10 05,0.01071
             2016 10 05,0.01569
             2016 10 05,0.0689
             2016 10 04,0.06212
             2016 10 04,0.01312
             2016 10 05,0.00441
             2016 10 05,0.00286
             2016 10 04,0.01414
             2016 10 04,0.00731
             2016 10 04,0.00534
             2016 10 02,0.01158
             2016 10 02,0.0018
             2016 10 02,0.00148
             2016 10 01,0.05614
             2016 10 01,0.09959
             2016 10 01,0.04175
             2016 10 02,0.00055
             2016 10 01,0.01591
             2016 10 01,0.0286
             2016 10 01,0.00198
             2016 10 01,0.00856
             2016 10 01,0.00596
             2016 09 28,0.00396
             2016 09 27,0.17774
             2016 09 25,0.01089
             2016 09 27,0.00313
             2016 09 26,0.0171
             2016 09 25,0.05654
             2016 09 25,0.00226
             2016 09 25,0.03682
             2016 09 25,0.15632
             2016 09 25,0.00069
             2016 09 25,0.09841
             2016 09 25,0.07057
             2016 09 25,0.1033
             2016 09 25,0.03263
             2016 09 25,0.00605
             2016 09 25,0.00259
             2016 09 25,0.00298
             2016 09 25,0.00466
             2016 09 25,0.15141
             2016 09 26,0.00224
             2016 09 25,0.01112
             2016 09 25,0.00445
             2016 09 25,0.00261
             2016 09 22,0.04283
             2016 09 22,0.33982
             2016 09 21,0.06019
             2016 09 22,0.00055
             2016 09 22,0.05325
             2016 09 22,0.0061
             2016 09 22,0.02978
             2016 09 22,0.06897
             2016 09 22,0.0038
             2016 09 21,0.04052
             2016 09 19,0.20355
             2016 09 12,0.15912
             2016 09 11,0.00016
             2016 09 13,0.0103
             2016 09 12,0.01783
             2016 09 12,0.01268
             2016 09 11,0.0115
             2016 09 11,0.00035
             2016 09 11,0.04471
             2016 09 12,0.01106
             2016 09 11,0.09421
             2016 09 10,0.01582
             2016 09 07,0.09124
             2016 09 09,0.02937
             2016 09 09,0.20388
             2016 09 06,0.01047
             2016 09 10,0.00284
             2016 09 09,0.00713
             2016 09 09,0.01667
             2016 09 08,0.02583
             2016 09 08,0.20376
             2016 09 07,0.10425
             2016 09 07,0.0665
             2016 09 07,0.14028
             2016 09 06,0.04478
             2016 09 06,0.00402
             2016 09 05,0.01517
             2016 09 05,0.00808
             2016 09 05,0.01956
